player,stat,line,opponent,game_date,prediction,confidence,actual_value,actual_outcome,correct,margin
Keon Ellis,STL+BLK,1.0,DEN,2024-12-16,LEAN OVER,49.15465145681531,6,OVER,True,5.0
Nic Claxton,TRB,6.5,UTA,2024-12-21,OVER,67.11138310893513,5,UNDER,False,-1.5
Kyle Filipowski,STL+BLK,1.5,PHI,2024-12-28,UNDER,69.09550561797752,1,UNDER,True,-0.5
Josh Hart,PTS+REB+AST,27.5,TOR,2025-01-08,LEAN OVER,45.69055827354445,39,OVER,True,11.5
Aaron Wiggins,3P,2.5,UTA,2025-01-22,UNDER,71.7421052631579,2,UNDER,True,-0.5
Ayo Dosunmu,TRB,4.0,MIN,2025-02-05,LEAN UNDER,55.99160035366931,0,UNDER,True,-4.0
Keon Ellis,3P,2.5,ORL,2025-02-05,UNDER,85.59360730593608,2,UNDER,True,-0.5
Jordan Hawkins,TRB,4.5,WAS,2025-01-05,LEAN UNDER,58.15882967607106,2,UNDER,True,-2.5
Jonathan Kuminga,AST,3.0,CLE,2024-12-30,UNDER,81.90043290043289,2,UNDER,True,-1.0
Bobby Portis,AST,0.5,SAS,2025-01-08,OVER,61.876623376623385,2,OVER,True,1.5
Clint Capela,AST,2.0,TOR,2024-12-29,UNDER,64.5127236212449,2,PUSH,,0.0
Naz Reid,AST,0.5,NYK,2024-12-19,OVER,70.32725356178851,2,OVER,True,1.5
Haywood Highsmith,STL+BLK,3.0,CLE,2025-01-29,LEAN UNDER,57.48940574643833,2,UNDER,True,-1.0
Gary Harris,AST,1.0,POR,2025-01-30,LEAN UNDER,56.340557275541805,0,UNDER,True,-1.0
Garrison Mathews,STL+BLK,1.5,TOR,2025-01-23,UNDER,65.16938898971567,0,UNDER,True,-1.5
Moritz Wagner,3P,0.0,OKC,2024-12-19,LEAN OVER,52.7961770457648,0,PUSH,,0.0
Kyshawn George,AST,1.5,CHO,2024-12-26,LEAN OVER,48.590196612439975,2,OVER,True,0.5
Russell Westbrook,AST,6.5,ORL,2025-01-19,LEAN UNDER,47.97547772161006,6,UNDER,True,-0.5
Malik Monk,STL+BLK,1.5,BOS,2025-01-10,LEAN UNDER,57.053895160367155,2,OVER,False,0.5
Stephon Castle,TRB,1.5,LAC,2024-12-31,LEAN OVER,57.027354772449335,4,OVER,True,2.5
Nikola Jokić,STL+BLK,3.5,NOP,2025-02-05,UNDER,66.28947368421053,2,UNDER,True,-1.5
Bobby Portis,AST,0.5,IND,2024-12-31,OVER,70.87662337662339,3,OVER,True,2.5
Coby White,PTS,17.5,WAS,2025-01-10,LEAN OVER,45.288958970650626,15,UNDER,False,-2.5
Onyeka Okongwu,STL+BLK,0.5,IND,2025-02-01,OVER,60.874529207325736,1,OVER,True,0.5
Bennedict Mathurin,PTS+REB+AST,26.5,PHI,2025-01-18,LEAN UNDER,57.899646330680824,16,UNDER,True,-10.5
