Name,Position
Melvin Ajinca,[]
Adem Bona,['C']
Matas Buzelis,"['SF', 'PF']"
Carlton Carrington,"['PG', 'SG']"
Devin Carter,[]
Stephon Castle,"['PG', 'SG']"
Ulrich Chomche,['C']
Cam Christie,"['PG', 'SG']"
Donovan Clingan,['C']
Isaiah Collier,"['PG', 'SG']"
Pacome Dadiet,"['PG', 'SG']"
Rob Dillingham,"['PG', 'SG']"
Nikola Djurisic,['PG']
Ryan Dunn,"['SF', 'PF']"
Zach Edey,['C']
Kyle Filipowski,"['SF', 'PF']"
Enrique Freeman,"['SF', 'PF']"
Johnny Furphy,"['SF', 'PF']"
Kyshawn George,"['SF', 'PF']"
Ron Holland II,"['SF', 'PF']"
DaRon Holmes II,"['SF', 'PF']"
Ariel Hukporti,"['SF', 'PF']"
Oso Ighodaro,"['SF', 'PF']"
Harrison Ingram,"['SF', 'PF']"
Bronny James,"['SF', 'PF']"
AJ Johnson,"['SF', 'PF']"
Dillon Jones,"['SF', 'PF']"
Bobi Klintman,"['SF', 'PF']"
Dalton Knecht,"['SF', 'PF']"
Tyler Kolek,"['SF', 'PF']"
Pelle Larsson,"['SF', 'PF']"
Jared McCain,"['SF', 'PF']"
Kevin McCullar Jr.,"['SF', 'PF']"
Yves Missi,"['SF', 'PF']"
Ajay Mitchell,"['SF', 'PF']"
Jonathan Mogbo,"['SF', 'PF']"
Tristen Newton,"['SF', 'PF']"
Juan Nunez,"['SF', 'PF']"
Quinten Post,"['SF', 'PF']"
Antonio Reeves,"['SF', 'PF']"
Zaccharie Risacher,"['SF', 'PF']"
Tidjane Salaun,"['SF', 'PF']"
Baylor Scheierman,"['SF', 'PF']"
Terrence Shannon Jr.,"['SF', 'PF']"
Jamal Shead,"['SF', 'PF']"
Reed Sheppard,"['SF', 'PF']"
KJ Simpson,"['SF', 'PF']"
Tyler Smith,"['SF', 'PF']"
Cam Spencer,"['SF', 'PF']"
Nikola Topic,"['SF', 'PF']"
Jaylon Tyson,"['SF', 'PF']"
Jaâ€™Kobe Walter,"['SF', 'PF']"
Kel'el Ware,"['SF', 'PF']"
Anton Watson,"['SF', 'PF']"
Jaylen Wells,"['SF', 'PF']"
Cody Williams,"['SF', 'PF']"
Tristan da Silva,"['SF', 'PF']"
Jayson Tatum,"['SF', 'PF']"
Anthony Davis,"['SF', 'PF']"
Derrick White,"['SF', 'PF']"
Jrue Holiday,"['SF', 'PF']"
Miles McBride,"['SF', 'PF']"
Rui Hachimura,"['SF', 'PF']"
Jaylen Brown,"['SF', 'PF']"
Rudy Gobert,"['SF', 'PF']"
Julius Randle,"['SF', 'PF']"
Al Horford,"['SF', 'PF']"
Jalen Brunson,"['SF', 'PF']"
Anthony Edwards,"['SF', 'PF']"
Karl-Anthony Towns,"['SF', 'PF']"
Austin Reaves,"['SF', 'PF']"
Josh Hart,"['SF', 'PF']"
Nickeil Alexander-Walker,"['SF', 'PF']"
LeBron James,"['SF', 'PF']"
Jaxson Hayes,"['SF', 'PF']"
Mikal Bridges,"['SF', 'PF']"
Cameron Payne,"['SF', 'PF']"
Naz Reid,"['SF', 'PF']"
Jericho Sims,"['SF', 'PF']"
Luke Kornet,"['SF', 'PF']"
Sam Hauser,"['SF', 'PF']"
Donte DiVincenzo,"['SF', 'PF']"
D'Angelo Russell,"['SF', 'PF']"
OG Anunoby,"['SF', 'PF']"
Xavier Tillman,"['SF', 'PF']"
Mike Conley,"['SF', 'PF']"
Jaden McDaniels,"['SF', 'PF']"
Gabe Vincent,"['SF', 'PF']"
Jordan Walsh,"['SF', 'PF']"
Joe Ingles,"['SF', 'PF']"
Neemias Queta,"['SF', 'PF']"
Jacob Toppin,"['SF', 'PF']"
Payton Pritchard,"['SF', 'PF']"
Max Christie,"['SF', 'PF']"
LaMelo Ball,"['SF', 'PF']"
Lauri Markkanen,"['SF', 'PF']"
Trae Young,"['SF', 'PF']"
Paolo Banchero,"['SF', 'PF']"
Onyeka Okongwu,"['SF', 'PF']"
Evan Mobley,"['SF', 'PF']"
Cam Thomas,"['SF', 'PF']"
Alperen Sengun,"['SF', 'PF']"
Damian Lillard,"['SF', 'PF']"
Brandon Ingram,"['SF', 'PF']"
Giannis Antetokounmpo,"['SF', 'PF']"
Pascal Siakam,"['SF', 'PF']"
Walker Kessler,"['SF', 'PF']"
Franz Wagner,"['SF', 'PF']"
Stephen Curry,"['SF', 'PF']"
Cade Cunningham,"['SF', 'PF']"
Ja Morant,"['SF', 'PF']"
Santi Aldama,"['SF', 'PF']"
Bradley Beal,"['SF', 'PF']"
CJ McCollum,"['SF', 'PF']"
Caris LeVert,"['SF', 'PF']"
Nikola Vu?evi?,"['SF', 'PF']"
Buddy Hield,"['SF', 'PF']"
Donovan Mitchell,"['SF', 'PF']"
Jarrett Allen,"['SF', 'PF']"
Tre Mann,"['SF', 'PF']"
Jalen Duren,"['SF', 'PF']"
Desmond Bane,"['SF', 'PF']"
Ty Jerome,"['SF', 'PF']"
Taurean Prince,"['SF', 'PF']"
Jalen Green,"['SF', 'PF']"
Gary Harris,"['SF', 'PF']"
Trayce Jackson-Davis,"['SF', 'PF']"
Myles Turner,"['SF', 'PF']"
Dyson Daniels,"['SF', 'PF']"
Chris Boucher,"['SF', 'PF']"
Tyus Jones,"['SF', 'PF']"
James Harden,"['SF', 'PF']"
T.J. McConnell,"['SF', 'PF']"
Jalen Smith,"['SF', 'PF']"
Andrew Wiggins,"['SF', 'PF']"
Terry Rozier,"['SF', 'PF']"
Zach LaVine,"['SF', 'PF']"
Dejounte Murray,"['SF', 'PF']"
Kyle Lowry,"['SF', 'PF']"
Jaden Ivey,"['SF', 'PF']"
Jordan Clarkson,"['SF', 'PF']"
Ivica Zubac,"['SF', 'PF']"
Jay Huff,"['SF', 'PF']"
Bennedict Mathurin,"['SF', 'PF']"
Scoot Henderson,"['SF', 'PF']"
Kevin Durant,"['SF', 'PF']"
Javonte Green,"['SF', 'PF']"
Bobby Portis,"['SF', 'PF']"
Deni Avdija,"['SF', 'PF']"
Taylor Hendricks,"['SF', 'PF']"
Gradey Dick,"['SF', 'PF']"
Jalen Suggs,"['SF', 'PF']"
Jalen Wilson,"['SF', 'PF']"
Wendell Carter,"['SF', 'PF']"
Amir Coffey,"['SF', 'PF']"
Tyler Herro,"['SF', 'PF']"
Collin Sexton,"['SF', 'PF']"
Tyrese Maxey,"['SF', 'PF']"
Devin Booker,"['SF', 'PF']"
Derrick Jones,"['SF', 'PF']"
Toumani Camara,"['SF', 'PF']"
Gary Payton,"['SF', 'PF']"
Tim Hardaway,"['SF', 'PF']"
Tyrese Haliburton,"['SF', 'PF']"
Moses Moody,"['SF', 'PF']"
Anthony Black,"['SF', 'PF']"
Cameron Johnson,"['SF', 'PF']"
Norman Powell,"['SF', 'PF']"
Daniel Theis,"['SF', 'PF']"
Caleb Martin,"['SF', 'PF']"
Kelly Oubre,"['SF', 'PF']"
Immanuel Quickley,"['SF', 'PF']"
Jerami Grant,"['SF', 'PF']"
Jordan Hawkins,"['SF', 'PF']"
Deandre Ayton,"['SF', 'PF']"
Nikola Jovi?,"['SF', 'PF']"
Andre Drummond,"['SF', 'PF']"
Scotty Pippen ,"['SF', 'PF']"
Draymond Green,"['SF', 'PF']"
Haywood Highsmith,"['SF', 'PF']"
Fred VanVleet,"['SF', 'PF']"
De'Andre Hunter,"['SF', 'PF']"
Brook Lopez,"['SF', 'PF']"
De'Anthony Melton,"['SF', 'PF']"
Thomas Bryant,"['SF', 'PF']"
Jaime Jaquez,"['SF', 'PF']"
Cody Martin,"['SF', 'PF']"
Georges Niang,"['SF', 'PF']"
Jusuf Nurki?,"['SF', 'PF']"
Bam Adebayo,"['SF', 'PF']"
Josh Giddey,"['SF', 'PF']"
Clint Capela,"['SF', 'PF']"
Mason Plumlee,"['SF', 'PF']"
Amen Thompson,"['SF', 'PF']"
Ochai Agbaji,"['SF', 'PF']"
Kyle Anderson,"['SF', 'PF']"
Aaron Nesmith,"['SF', 'PF']"
